Date,Close,Change,Change (%),Open,High,Low,Volume
Feb 11 2017,999.18,-5.27,-0.52%,1003.52,1004.76,996.92,"67,585.00"
Feb 12 2017,990.64,-8.54,-0.85%,998.88,1002.1,976.0,"101,557.00"
Feb 13 2017,1004.55,13.91,1.40%,991.74,1011.51,986.47,"137,321.00"
Feb 14 2017,1007.48,2.93,0.29%,1006.21,1008.84,1001.58,"89,092.00"
Feb 15 2017,1027.44,19.96,1.98%,1007.65,1033.37,1007.65,"119,011.00"
Feb 16 2017,1046.21,18.77,1.83%,1026.12,1053.17,1025.64,"130,446.00"
Feb 17 2017,1054.42,8.21,0.78%,1049.21,1061.1,1046.96,"93,960.00"
Feb 18 2017,1047.87,-6.55,-0.62%,1054.76,1056.81,1043.46,"73,886.00"
Feb 19 2017,1079.98,32.11,3.06%,1048.69,1080.49,1041.69,"101,370.00"
Feb 20 2017,1115.3,35.32,3.27%,1079.28,1117.25,1076.93,"167,550.00"
Feb 21 2017,1117.44,2.14,0.19%,1114.8,1125.39,1100.55,"121,796.00"
Feb 22 2017,1166.72,49.28,4.41%,1117.27,1176.62,1116.96,"162,381.00"
Feb 23 2017,1173.68,6.96,0.60%,1172.71,1200.39,1131.96,"281,813.00"
Feb 24 2017,1143.84,-29.84,-2.54%,1170.41,1174.85,1124.59,"122,360.00"
Feb 25 2017,1165.2,21.36,1.87%,1144.27,1167.47,1130.2,"99,970.00"
Feb 26 2017,1179.97,14.77,1.27%,1163.78,1181.98,1163.38,"111,502.00"
Feb 27 2017,1179.97,0.0,0.00%,1180.72,1193.25,1171.82,"156,746.00"
Feb 28 2017,1222.5,42.53,3.60%,1180.04,1222.5,1179.69,"187,367.00"
Mar 01 2017,1251.01,28.51,2.33%,1224.68,1262.13,1215.62,"294,382.00"
Mar 02 2017,1274.99,23.98,1.92%,1250.71,1280.31,1250.71,"247,640.00"
Mar 03 2017,1255.15,-19.84,-1.56%,1277.43,1279.4,1230.51,"146,014.00"
Mar 04 2017,1267.12,11.97,0.95%,1254.29,1267.29,1238.06,"105,851.00"
Mar 05 2017,1272.83,5.71,0.45%,1267.47,1276.0,1264.6,"120,720.00"
Mar 06 2017,1223.54,-49.29,-3.87%,1273.21,1275.55,1204.8,"238,043.00"
Mar 07 2017,1150.0,-73.54,-6.01%,1223.23,1232.16,1148.08,"289,220.00"
Mar 08 2017,1188.49,38.49,3.35%,1150.35,1197.46,1141.23,"178,615.00"
Mar 09 2017,1116.72,-71.77,-6.04%,1189.36,1270.47,1077.25,"504,867.00"
Mar 10 2017,1175.83,59.11,5.29%,1116.32,1193.83,1116.32,"240,953.00"
Mar 11 2017,1221.38,45.55,3.87%,1176.62,1226.98,1175.36,"185,999.00"
Mar 12 2017,1231.92,10.54,0.86%,1221.78,1237.37,1217.03,"308,686.00"
Mar 13 2017,1240.0,8.08,0.66%,1232.16,1244.81,1220.72,"197,827.00"
Mar 14 2017,1249.61,9.61,0.77%,1240.16,1251.61,1239.75,"238,318.00"
Mar 15 2017,1187.81,-61.8,-4.95%,1251.33,1257.98,1152.44,"537,601.00"
Mar 16 2017,1100.23,-87.58,-7.37%,1180.16,1180.16,1099.57,"642,228.00"
Mar 17 2017,973.82,-126.41,-11.49%,1099.69,1114.07,957.65,"638,006.00"
Mar 18 2017,1036.74,62.92,6.46%,976.73,1069.91,976.73,"392,237.00"
Mar 19 2017,1054.23,17.49,1.69%,1037.24,1063.03,1036.68,"271,790.00"
Mar 20 2017,1120.54,66.31,6.29%,1055.36,1122.43,1055.36,"301,096.00"
Mar 21 2017,1049.14,-71.4,-6.37%,1120.65,1120.65,1014.21,"363,003.00"
Mar 22 2017,1038.59,-10.55,-1.01%,1050.05,1058.01,1028.93,"239,305.00"
Mar 23 2017,937.52,-101.07,-9.73%,1038.45,1040.47,934.36,"523,762.00"
Mar 24 2017,972.78,35.26,3.76%,936.54,975.76,903.71,"447,997.00"
Mar 25 2017,966.73,-6.05,-0.62%,974.01,1007.96,954.19,"314,120.00"
Mar 26 2017,1045.77,79.04,8.18%,972.05,1046.4,971.98,"356,230.00"
Mar 27 2017,1047.15,1.38,0.13%,1044.58,1064.65,1027.73,"311,638.00"
Mar 28 2017,1039.97,-7.18,-0.69%,1046.08,1055.13,1015.88,"286,987.00"
Mar 29 2017,1026.43,-13.54,-1.30%,1042.21,1049.29,1020.04,"343,880.00"
Mar 30 2017,1071.79,45.36,4.42%,1026.64,1074.92,1026.64,"417,327.00"
Mar 31 2017,1080.5,8.71,0.81%,1071.71,1091.72,1061.09,"268,055.00"
Apr 01 2017,1102.17,21.67,2.01%,1080.61,1107.59,1075.45,"466,522.00"
Apr 02 2017,1143.81,41.64,3.78%,1102.95,1151.74,1102.95,"507,465.00"
Apr 02 2017,1143.81,41.64,3.78%,1102.95,1151.74,1102.95,"507,465.00"
Apr 03 2017,1133.25,-10.56,-0.92%,1145.52,1156.44,1120.52,"385,007.00"
Apr 04 2017,1124.78,-8.47,-0.75%,1134.14,1135.09,1113.63,"368,769.00"
Apr 05 2017,1182.68,57.9,5.15%,1125.81,1188.37,1125.81,"432,257.00"
Apr 06 2017,1176.9,-5.78,-0.49%,1178.94,1186.58,1163.39,"269,370.00"
Apr 07 2017,1175.95,-0.95,-0.08%,1172.65,1184.98,1162.58,"177,993.00"
Apr 08 2017,1187.87,11.92,1.01%,1176.57,1197.21,1171.86,"204,014.00"
Apr 09 2017,1187.13,-0.74,-0.06%,1187.3,1190.34,1179.04,"181,852.00"
Apr 10 2017,1205.01,17.88,1.51%,1187.46,1208.07,1187.46,"179,402.00"
Apr 11 2017,1200.37,-4.64,-0.39%,1204.81,1207.14,1196.76,"240,510.00"
Apr 12 2017,1169.28,-31.09,-2.59%,1201.02,1205.89,1156.44,"301,013.00"
Apr 13 2017,1167.54,-1.74,-0.15%,1170.33,1190.8,1159.79,"218,259.00"
Apr 14 2017,1172.52,4.98,0.43%,1167.3,1188.0,1164.96,"173,608.00"
Apr 15 2017,1182.94,10.42,0.89%,1172.61,1187.22,1172.61,"154,894.00"
Apr 16 2017,1193.91,10.97,0.93%,1183.25,1194.9,1172.65,"212,081.00"
Apr 17 2017,1211.67,17.76,1.49%,1193.77,1217.57,1193.77,"223,265.00"
Apr 18 2017,1210.29,-1.38,-0.11%,1212.13,1215.51,1205.08,"238,009.00"
Apr 19 2017,1229.08,18.79,1.55%,1211.08,1240.79,1208.41,"256,377.00"
Apr 20 2017,1222.05,-7.03,-0.57%,1229.42,1235.94,1215.56,"222,713.00"
Apr 21 2017,1231.71,9.66,0.79%,1222.71,1235.56,1208.47,"202,417.00"
Apr 22 2017,1207.21,-24.5,-1.99%,1231.92,1232.2,1203.94,"214,503.00"
Apr 23 2017,1250.15,42.94,3.56%,1209.63,1250.94,1209.63,"188,622.00"
Apr 24 2017,1265.49,15.34,1.23%,1250.45,1267.58,1249.97,"191,669.00"
Apr 25 2017,1281.08,15.59,1.23%,1265.99,1294.83,1265.93,"257,307.00"
Apr 26 2017,1317.73,36.65,2.86%,1281.88,1319.7,1281.3,"340,886.00"
Apr 27 2017,1316.48,-1.25,-0.09%,1317.74,1331.28,1292.37,"400,681.00"
Apr 28 2017,1321.79,5.31,0.40%,1317.84,1327.2,1315.21,"319,798.00"
Apr 29 2017,1347.89,26.1,1.97%,1321.87,1347.91,1314.92,"306,490.00"
Apr 30 2017,1421.6,73.71,5.47%,1348.3,1434.32,1348.3,"501,986.00"
May 01 2017,1452.82,31.22,2.20%,1421.03,1473.9,1415.69,"328,559.00"
May 02 2017,1490.09,37.27,2.57%,1453.78,1492.77,1447.49,"391,785.00"
May 03 2017,1537.67,47.58,3.19%,1490.72,1608.91,1490.72,"607,119.00"
May 04 2017,1555.45,17.78,1.16%,1540.87,1618.03,1530.31,"608,207.00"
May 05 2017,1578.8,23.35,1.50%,1556.81,1578.8,1542.5,"368,970.00"
May 06 2017,1596.71,17.91,1.13%,1579.47,1596.72,1559.76,"676,409.00"
May 07 2017,1723.35,126.64,7.93%,1596.92,1723.35,1596.92,"777,741.00"
